event_date,buy_date,topic,topic_display,instrument,post_count,avg_sentiment,sentiment_label,total_engagement,platform,headline_text,buy_price,presidency_era,in_office,return_1d_pct,value_1d,return_1w_pct,value_1w,return_1m_pct,value_1m
2020-07-29,2020-07-29,nasdaq,Nasdaq,nasdaq,1,-0.8564,negative,189502,Twitter,"If Congress doesn’t bring fairness to Big Tech, which they should have done years ago, I will do it myself with Executive Orders. In Washington, it has been ALL TALK and NO ACTION for years, and the people of our Country are sick and tired of it!",10542.9404,President — 1st Term (2017–2021),In Office,0.4256,100425.59,4.32,104320.05,10.9333,110933.28
2020-08-03,2020-08-03,nasdaq,Nasdaq,nasdaq,1,0.0,neutral,184429,Twitter,"RECORD HIGH NASDAQ! It would all come crashing down, including your Jobs, Stocks, and 401k's, if Sleepy Joe ever became President. China and others would own us!!!",10902.7998,President — 1st Term (2017–2021),In Office,0.3519,100351.93,0.6013,100601.32,10.5811,110581.14
2020-08-17,2020-08-17,nasdaq,Nasdaq,nasdaq,1,0.0,neutral,167935,Twitter,NEW RECORD FOR NASDAQ!,11129.7305,President — 1st Term (2017–2021),In Office,0.7288,100728.76,2.2461,102246.14,-0.7122,99287.85
2020-08-18,2020-08-18,nasdaq,Nasdaq,nasdaq,1,0.8687,positive,128735,Twitter,"....My Administration and I built the greatest economy in history, of any country, turned it off, saved millions of lives, and now am building an even greater economy than it was before. Jobs are flowing, NASDAQ is already at a record high, the rest to follow. Sit back & watch!",11210.8398,President — 1st Term (2017–2021),In Office,-0.5743,99425.74,2.2802,102280.2,-2.681,97319.03
2020-09-07,2020-09-08,nasdaq,Nasdaq,nasdaq,1,-0.2481,negative,220079,Twitter,"A massive Disinformation Campaign is going on by the Democrats, their partner, the Fake News Media, & Big Tech. They create false stories and then push them like has never been done before, even beyond the 2016 Campaign. It imperils our Country, and must stop now. Victory 2020!",10847.6904,President — 1st Term (2017–2021),In Office,0.0,100000.0,1.9263,101926.31,4.7652,104765.15
2020-09-08,2020-09-08,nasdaq,Nasdaq,nasdaq,1,-0.7644,negative,56286,Twitter,"Why does Twitter leave phony pictures like this up, but take down Republican/Conservative pictures and statements that are true? Mitch must fight back and repeal Section 230, immediately. Stop biased Big Tech before they stop you! @HawleyMO @MarshaBlackburn https://t.co/ah0nMeQdM0",10847.6904,President — 1st Term (2017–2021),In Office,2.709,102709.05,3.1586,103158.55,5.2849,105284.9
2020-10-15,2020-10-15,nasdaq,Nasdaq,nasdaq,1,0.5093,positive,103715,Twitter,"If Big Tech persists, in coordination with the mainstream media, we must immediately strip them of their Section 230 protections. When government granted these protections, they created a monster! https://t.co/velyvYTOR0",11713.8701,President — 1st Term (2017–2021),In Office,-0.3612,99638.8,-1.7745,98225.52,1.795,101794.96
2020-10-16,2020-10-16,nasdaq,Nasdaq,nasdaq,2,-0.7203,negative,301738,Twitter,"Big T was not a reference to me, but rather to Big Tech, which should have been properly pointed out in Twitter's Fake Trending Section!",11671.5596,President — 1st Term (2017–2021),In Office,-1.6508,98349.15,-1.0562,98943.76,2.164,102163.98
2020-10-22,2020-10-22,nasdaq,Nasdaq,nasdaq,1,-0.2003,negative,275459,Twitter,"I am not just running against Biden, I am running against the Corrupt Media, the Big Tech Giants, and the Washington Swamp. It is time to send a message to these wealthy liberal hypocrites by delivering Joe Biden a THUNDERING defeat on November 3rd! #MAGA https://t.co/gsFSgh2KPc https://t.co/eRRgjnh",11506.0098,President — 1st Term (2017–2021),In Office,0.3674,100367.38,-2.7848,97215.19,3.2559,103255.86
2020-10-24,2020-10-26,nasdaq,Nasdaq,nasdaq,1,-0.4939,negative,43580,Twitter,"Trump: Biden Works for Big Tech, Big Media — They Keep Scandals Quiet https://t.co/GddS9YvM41 via @BreitbartNews",11358.9404,President — 1st Term (2017–2021),In Office,0.0,100000.0,-3.5332,96466.84,4.5928,104592.77
