event_date,buy_date,topic,topic_display,instrument,post_count,avg_sentiment,sentiment_label,total_engagement,platform,headline_text,buy_price,presidency_era,in_office,return_1d_pct,value_1d,return_1w_pct,value_1w,return_1m_pct,value_1m
2025-01-31,2025-01-31,bitcoin,Bitcoin,bitcoin,1,0.0,neutral,37,Truth Social,https:// nypost.com/2025/01/16/business /new-trump-ends-crypto-communitys-government-harassment/,102405.0234,President — 2nd Term (2025+),In Office,-1.708,98291.96,-5.7379,94262.06,-7.9651,92034.89
2025-02-24,2025-02-24,bitcoin,Bitcoin,bitcoin,1,0.807,positive,463,Truth Social,"Sharyl Attkisson is a terrific journalist. No games, she tells it like it is. Her show this week, on the Gulf of America, and Bitcoin, is fantastic. Keep pushing Sharyl!",91418.1719,President — 2nd Term (2025+),In Office,-2.9338,97066.23,-5.855,94145.04,-4.9413,95058.65
2025-03-02,2025-03-02,bitcoin,Bitcoin,bitcoin,2,0.7363,positive,296,Truth Social,"A U.S. Crypto Reserve will elevate this critical industry after years of corrupt attacks by the Biden Administration, which is why my Executive Order on Digital Assets directed the Presidential Working Group to move forward on a Crypto Strategic Reserve that includes XRP, SOL, and ADA. I will make s",94248.3516,President — 2nd Term (2025+),In Office,-8.682,91317.96,-14.4802,85519.84,-9.6333,90366.75
2025-03-26,2025-03-26,bitcoin,Bitcoin,bitcoin,1,0.931,positive,281,Truth Social,"Senator Cynthia Lummis is an America First Warrior for the Wonderful People of Wyoming!\n \nAs the Chair of the Senate Banking Subcommittee on Digital Assets, Cynthia is working closely with me to make America the Crypto Capital of the World. Cynthia is fighting tirelessly to Grow the Economy, Cut T",86900.8828,President — 2nd Term (2025+),In Office,0.3179,100317.85,-5.0807,94919.3,8.9983,108998.32
2025-05-22,2025-05-22,bitcoin,Bitcoin,bitcoin,1,-0.4981,negative,402,Truth Social,"Heading to the Crypto Dinner in Loudon County, Virginia, in a little while. The U.S.A. is DOMINATING in Crypto, Bitcoin, etc., and we are going to keep it that way!",111673.2812,President — 2nd Term (2025+),In Office,-3.9271,96072.93,-5.401,94598.96,-8.4316,91568.37
2025-06-19,2025-06-19,bitcoin,Bitcoin,bitcoin,1,0.9792,positive,57,Truth Social,"The Senate just passed an incredible Bill that is going to make America the UNDISPUTED Leader in Digital Assets — Nobody will do it better, it is pure GENIUS! Digital Assets are the future, and our Nation is going to own it. We are talking about MASSIVE Investment, and Big Innovation. The House will",104684.2891,President — 2nd Term (2025+),In Office,-1.3132,98686.83,2.1739,102173.88,12.6625,112662.54
2025-07-10,2025-07-10,bitcoin,Bitcoin,bitcoin,1,0.8788,positive,31,Truth Social,"Tech Stocks, Industrial Stocks, & NASDAQ, HIT ALL-TIME, RECORD HIGHS! CRYPTO, “Through the Roof.” NVIDIA IS UP 47% SINCE TRUMP TARIFFS. USA is taking in Hundreds of Billions of Dollars in Tariffs. COUNTRY IS NOW “BACK.” A GREAT CREDIT! FED SHOULD RAPIDLY LOWER RATE TO REFLECT THIS STRENGTH. USA SHOU",115987.2031,President — 2nd Term (2025+),In Office,1.3189,101318.93,2.8474,102847.42,0.4424,100442.42
2025-07-15,2025-07-15,bitcoin,Bitcoin,bitcoin,1,0.9856,positive,2,Truth Social,"HAPPY CRYPTO WEEK! The House will soon VOTE on a tremendous Bill to Make America the UNDISPUTED, NUMBER ONE LEADER in Digital Assets - Nobody does it better! The GENIUS Act is going to put our Great Nation lightyears ahead of China, Europe, and all others, who are trying endlessly to catch up, but t",117777.1875,President — 2nd Term (2025+),In Office,0.8162,100816.22,1.8834,101883.41,0.4945,100494.49
2025-07-16,2025-07-16,bitcoin,Bitcoin,bitcoin,1,0.9462,positive,489,Truth Social,"I am in the Oval Office with 11 of the 12 Congressmen/women necessary to pass the GENIUS Act and, after a short discussion, they have all agreed to vote tomorrow morning in favor of the Rule. Speaker of the House Mike Johnson was at the meeting via telephone, and looks forward to taking the Vote as ",118738.5078,President — 2nd Term (2025+),In Office,0.4643,100464.33,0.0139,100013.86,-1.1287,98871.34
2025-07-18,2025-07-18,bitcoin,Bitcoin,bitcoin,1,0.8555,positive,136,Truth Social,I pledged that we would bring back American liberty and leadership and make the U.S. the crypto capital of the world—The Genius Act creates a clear and simple regulatory framework to establish and unleash the immense promise of dollar-backed stablecoins…,118003.2266,President — 2nd Term (2025+),In Office,-0.0536,99946.4,-0.3113,99688.7,-0.4662,99533.77
2025-07-19,2025-07-19,bitcoin,Bitcoin,bitcoin,1,0.7717,positive,2,Truth Social,We have fulfilled so many of our promises… \n✅One Big Beautiful Bill\n✅Laken Riley Act\n✅TAKE IT DOWN Act\n✅Rescissions Act of 2025\n✅HALT Fentanyl Act\n✅GENIUS Act,117939.9766,President — 2nd Term (2025+),In Office,-0.542,99458.04,0.0063,100006.27,-1.431,98569.05
2025-07-20,2025-07-20,bitcoin,Bitcoin,bitcoin,1,0.0,neutral,92,Truth Social,“Greatest Bitcoin explanation of all time”,117300.7891,President — 2nd Term (2025+),In Office,0.1183,100118.29,1.8309,101830.94,-3.8104,96189.62
2025-07-21,2025-07-21,bitcoin,Bitcoin,bitcoin,1,0.0,neutral,34,Truth Social,“Fact Sheet: President Donald J. Trump Signs GENIUS Act into Law” https://www. whitehouse.gov/fact-sheets/202 5/07/fact-sheet-president-donald-j-trump-signs-genius-act-into-law/,117439.5391,President — 2nd Term (2025+),In Office,2.1763,102176.33,0.4129,100412.93,-2.6948,97305.17
