event_date,buy_date,topic,topic_display,instrument,post_count,avg_sentiment,sentiment_label,total_engagement,platform,headline_text,buy_price,presidency_era,in_office,return_1d_pct,value_1d,return_1w_pct,value_1w,return_1m_pct,value_1m
2011-12-14,2011-12-14,iran_geopolitics,Iran & Geopolitics,oil,3,0.1529,positive,278,Twitter,"The Mullahs laughed when @BarackObama ""asked"" Iran to return our drone--they will show it to China first.",94.95,Not President (Pre-2017),Not In Office,-1.1374,98862.56,3.9179,103917.85,3.9494,103949.45
2011-12-15,2011-12-15,iran_geopolitics,Iran & Geopolitics,oil,1,0.0,neutral,249,Twitter,"""Let me put this as plainly as I know how: Iran's nuclear program must be stopped--by any and all means necessary. Period."" #TimeToGetTough",93.87,Not President (Pre-2017),Not In Office,-0.3622,99637.8,6.0296,106029.62,7.2867,107286.67
2011-12-16,2011-12-16,iran_geopolitics,Iran & Geopolitics,oil,1,-0.7618,negative,128,Twitter,"China, OPEC, Russia and Iran no longer respect us--@BarackObama's foreign policies have proved that weakness is provocative.",93.53,Not President (Pre-2017),Not In Office,0.3742,100374.21,6.5754,106575.43,7.6767,107676.68
2011-12-29,2011-12-29,iran_geopolitics,Iran & Geopolitics,oil,1,-0.4391,negative,270,Twitter,America wasted billions and precious lives in Iraq and Iran will soon take control--very very sad.,99.65,Not President (Pre-2017),Not In Office,-0.8229,99177.12,2.1676,102167.59,-0.8731,99126.94
2012-01-04,2012-01-04,iran_geopolitics,Iran & Geopolitics,oil,1,-0.2732,negative,257,Twitter,Iran has warned the US not to send an aircraft carrier back into the Strait of Hormuz. We should send three as a (cont) http://tl.gd/f51pbp ,103.22,Not President (Pre-2017),Not In Office,-1.366,98633.99,-2.2767,97723.31,-5.2122,94787.83
2012-01-05,2012-01-05,iran_geopolitics,Iran & Geopolitics,oil,2,-0.3505,negative,468,Twitter,"""Obama's plan to have Russia stand up to Iran was a horrible failure that turned America into a laughingstock."" #TimeToGetTough",101.81,Not President (Pre-2017),Not In Office,-0.2456,99754.44,-2.6618,97338.18,-4.8129,95187.11
2012-01-06,2012-01-06,iran_geopolitics,Iran & Geopolitics,oil,1,0.6249,positive,30,Twitter,"My interview with @seanhannity discussing Iran, @BarackObama's ineptitude, the GOP primary, the great Bob Vander (cont) http://tl.gd/f68utj ",101.56,Not President (Pre-2017),Not In Office,-0.2462,99753.84,-2.8161,97183.93,-4.5786,95421.43
2012-01-10,2012-01-10,iran_geopolitics,Iran & Geopolitics,oil,1,0.0,neutral,659,Twitter,"Why are we building a $1Billion embassy in Iraq when the country kicked us out, didn't give us any oil & is about to get taken over by Iran?",102.24,Not President (Pre-2017),Not In Office,-1.34,98660.02,-1.4965,98503.52,-2.3474,97652.58
2012-01-12,2012-01-12,iran_geopolitics,Iran & Geopolitics,oil,2,-0.2009,negative,221,Twitter,An Iranian nuclear scientist's car exploded in Tehran yesterday--lots of problems to come--@BarackObama --we need real leadership.,99.1,Not President (Pre-2017),Not In Office,-0.4036,99596.37,1.3017,101301.72,1.8264,101826.44
2012-01-17,2012-01-17,iran_geopolitics,Iran & Geopolitics,oil,1,-0.4767,negative,14634,Twitter,@BarackObama will attack Iran in order to get re-elected.,100.71,Not President (Pre-2017),Not In Office,-0.1192,99880.85,-1.7476,98252.41,1.5887,101588.72
