topic,topic_display,instrument,presidency_era,horizon,n_events,mean_return_pct,median_return_pct,win_rate_pct,best_return_pct,worst_return_pct,avg_value_of_100k
iran_geopolitics,Iran & Geopolitics,oil,President — 2nd Term (2025+),1d,47,-0.129,0.0,34.0,7.26,-8.57,99871.48
iran_geopolitics,Iran & Geopolitics,oil,President — 2nd Term (2025+),1w,47,-0.934,0.328,53.2,10.13,-15.08,99066.4
iran_geopolitics,Iran & Geopolitics,oil,President — 2nd Term (2025+),1m,47,-2.038,-2.536,34.0,16.47,-18.56,97961.59
israel_mideast,Israel & Middle East,sp500,Not President (2021–2024),1d,127,0.019,0.0,40.2,1.89,-2.31,100018.67
israel_mideast,Israel & Middle East,sp500,Not President (2021–2024),1w,127,0.449,0.49,63.0,5.85,-5.85,100448.9
israel_mideast,Israel & Middle East,sp500,Not President (2021–2024),1m,127,2.682,2.804,82.7,10.52,-3.92,102681.51
israel_mideast,Israel & Middle East,sp500,Not President (Pre-2017),1d,127,0.216,0.047,53.5,4.63,-3.19,100216.25
israel_mideast,Israel & Middle East,sp500,Not President (Pre-2017),1w,127,0.011,0.289,58.3,7.68,-6.54,100011.21
israel_mideast,Israel & Middle East,sp500,Not President (Pre-2017),1m,127,0.659,1.362,60.6,8.25,-17.27,100658.83
israel_mideast,Israel & Middle East,sp500,President — 1st Term (2017–2021),1d,110,0.08,0.0,44.5,2.62,-2.78,100080.08
israel_mideast,Israel & Middle East,sp500,President — 1st Term (2017–2021),1w,110,0.394,0.628,64.5,7.26,-5.64,100393.56
israel_mideast,Israel & Middle East,sp500,President — 1st Term (2017–2021),1m,110,1.855,2.296,78.2,9.41,-10.69,101854.64
israel_mideast,Israel & Middle East,sp500,President — 2nd Term (2025+),1d,84,0.083,0.0,40.5,1.67,-2.71,100083.07
israel_mideast,Israel & Middle East,sp500,President — 2nd Term (2025+),1w,84,0.303,0.555,61.9,5.16,-11.54,100303.49
israel_mideast,Israel & Middle East,sp500,President — 2nd Term (2025+),1m,81,0.712,1.445,72.8,10.48,-13.15,100711.96
nasdaq,Nasdaq,nasdaq,Not President (2021–2024),1d,20,0.021,0.0,35.0,2.69,-1.93,100020.83
nasdaq,Nasdaq,nasdaq,Not President (2021–2024),1w,20,-0.083,-0.212,50.0,3.17,-3.99,99916.66
nasdaq,Nasdaq,nasdaq,Not President (2021–2024),1m,20,0.985,1.46,55.0,8.9,-9.38,100984.77
nasdaq,Nasdaq,nasdaq,President — 1st Term (2017–2021),1d,40,0.027,0.04,50.0,2.71,-5.27,100026.93
nasdaq,Nasdaq,nasdaq,President — 1st Term (2017–2021),1w,40,0.633,0.429,60.0,6.9,-3.53,100633.27
nasdaq,Nasdaq,nasdaq,President — 1st Term (2017–2021),1m,40,3.874,3.821,92.5,12.7,-4.62,103873.87
nasdaq,Nasdaq,nasdaq,President — 2nd Term (2025+),1d,14,-0.274,0.0,35.7,1.51,-3.07,99726.1
nasdaq,Nasdaq,nasdaq,President — 2nd Term (2025+),1w,14,-1.186,-0.634,42.9,1.97,-5.71,98814.11
nasdaq,Nasdaq,nasdaq,President — 2nd Term (2025+),1m,13,3.651,3.658,76.9,13.76,-10.29,103650.93
oil_energy,Oil & Energy,oil,Not President (2021–2024),1d,68,-0.311,-0.261,25.0,5.96,-4.31,99689.0
oil_energy,Oil & Energy,oil,Not President (2021–2024),1w,68,-0.59,-0.712,45.6,12.67,-10.52,99409.75
oil_energy,Oil & Energy,oil,Not President (2021–2024),1m,68,-2.55,-2.521,36.8,21.8,-21.55,97450.08
oil_energy,Oil & Energy,oil,Not President (Pre-2017),1d,211,-0.111,0.0,46.0,6.1,-6.41,99889.38
oil_energy,Oil & Energy,oil,Not President (Pre-2017),1w,211,-0.47,-0.475,42.7,12.3,-14.55,99529.55
oil_energy,Oil & Energy,oil,Not President (Pre-2017),1m,211,-1.711,-2.206,40.3,19.92,-22.8,98288.72
oil_energy,Oil & Energy,oil,President — 1st Term (2017–2021),1d,66,0.281,0.0,36.4,37.66,-10.26,100281.05
oil_energy,Oil & Energy,oil,President — 1st Term (2017–2021),1w,66,-7.535,0.996,54.5,26.07,-267.92,92465.42
oil_energy,Oil & Energy,oil,President — 1st Term (2017–2021),1m,66,5.37,3.03,57.6,238.86,-43.45,105370.46
oil_energy,Oil & Energy,oil,President — 2nd Term (2025+),1d,60,0.08,0.0,43.3,5.62,-6.04,100080.04
oil_energy,Oil & Energy,oil,President — 2nd Term (2025+),1w,60,-0.29,-0.598,45.0,13.01,-16.32,99709.55
oil_energy,Oil & Energy,oil,President — 2nd Term (2025+),1m,55,-1.409,-1.863,34.5,11.34,-16.8,98590.53
sp500,S&P 500,sp500,Not President (2021–2024),1d,62,0.11,0.0,33.9,3.09,-1.16,100109.74
sp500,S&P 500,sp500,Not President (2021–2024),1w,62,0.35,0.355,54.8,4.78,-5.33,100349.81
sp500,S&P 500,sp500,Not President (2021–2024),1m,62,0.959,1.542,64.5,9.21,-9.2,100959.25
sp500,S&P 500,sp500,Not President (Pre-2017),1d,78,-0.176,0.0,39.7,4.74,-4.42,99823.53
sp500,S&P 500,sp500,Not President (Pre-2017),1w,78,0.433,0.48,61.5,7.6,-6.7,100433.34
sp500,S&P 500,sp500,Not President (Pre-2017),1m,78,1.44,1.587,73.1,8.43,-6.92,101439.9
sp500,S&P 500,sp500,President — 1st Term (2017–2021),1d,191,-0.023,0.0,36.6,2.72,-5.89,99976.6
sp500,S&P 500,sp500,President — 1st Term (2017–2021),1w,191,0.113,0.371,60.7,5.78,-7.97,100112.69
sp500,S&P 500,sp500,President — 1st Term (2017–2021),1m,191,0.859,1.864,70.7,15.74,-31.93,100858.69
sp500,S&P 500,sp500,President — 2nd Term (2025+),1d,41,0.046,0.0,41.5,3.26,-5.98,100045.7
sp500,S&P 500,sp500,President — 2nd Term (2025+),1w,40,0.671,0.898,67.5,5.27,-3.32,100670.98
sp500,S&P 500,sp500,President — 2nd Term (2025+),1m,38,2.116,2.054,81.6,7.96,-6.3,102116.43
tariffs_china,Tariffs & China,sp500,Not President (2021–2024),1d,210,0.032,0.0,38.1,2.59,-2.8,100031.78
tariffs_china,Tariffs & China,sp500,Not President (2021–2024),1w,210,0.111,0.327,57.1,4.84,-9.02,100110.89
tariffs_china,Tariffs & China,sp500,Not President (2021–2024),1m,210,1.057,1.665,64.3,9.3,-10.81,101056.64
tariffs_china,Tariffs & China,sp500,Not President (Pre-2017),1d,358,0.031,0.0,48.0,4.33,-4.78,100031.23
tariffs_china,Tariffs & China,sp500,Not President (Pre-2017),1w,358,0.306,0.505,61.2,7.33,-11.07,100305.79
tariffs_china,Tariffs & China,sp500,Not President (Pre-2017),1m,358,1.304,1.715,69.0,11.64,-15.26,101304.39
tariffs_china,Tariffs & China,sp500,President — 1st Term (2017–2021),1d,380,0.109,0.0,41.3,9.38,-5.18,100108.62
tariffs_china,Tariffs & China,sp500,President — 1st Term (2017–2021),1w,380,0.485,0.624,64.2,17.4,-17.97,100484.68
tariffs_china,Tariffs & China,sp500,President — 1st Term (2017–2021),1m,380,1.854,2.368,76.8,25.11,-32.97,101854.07
tariffs_china,Tariffs & China,sp500,President — 2nd Term (2025+),1d,168,0.01,0.0,44.6,9.52,-5.98,100009.81
tariffs_china,Tariffs & China,sp500,President — 2nd Term (2025+),1w,165,0.299,0.619,63.6,8.31,-11.54,100298.9
tariffs_china,Tariffs & China,sp500,President — 2nd Term (2025+),1m,156,1.401,1.969,69.9,15.17,-13.15,101400.86
vix_fear,Market Fear / VIX,vix,Not President (2021–2024),1d,14,-1.236,0.0,42.9,7.99,-28.16,98763.73
vix_fear,Market Fear / VIX,vix,Not President (2021–2024),1w,14,-1.786,-1.833,42.9,36.82,-46.31,98213.81
vix_fear,Market Fear / VIX,vix,Not President (2021–2024),1m,14,9.784,6.457,57.1,125.14,-44.72,109784.17
vix_fear,Market Fear / VIX,vix,Not President (Pre-2017),1d,4,1.48,0.835,50.0,8.36,-4.11,101480.49
vix_fear,Market Fear / VIX,vix,Not President (Pre-2017),1w,4,4.896,6.161,75.0,7.72,-0.46,104895.72
vix_fear,Market Fear / VIX,vix,Not President (Pre-2017),1m,4,1.122,4.509,50.0,17.59,-22.12,101121.56
vix_fear,Market Fear / VIX,vix,President — 1st Term (2017–2021),1d,7,-4.129,0.0,14.3,4.41,-16.68,95871.32
vix_fear,Market Fear / VIX,vix,President — 1st Term (2017–2021),1w,7,-2.956,-3.912,28.6,7.25,-10.94,97043.84
vix_fear,Market Fear / VIX,vix,President — 1st Term (2017–2021),1m,7,-6.317,-10.776,14.3,42.31,-28.46,93682.74
vix_fear,Market Fear / VIX,vix,President — 2nd Term (2025+),1d,4,-5.607,-4.198,0.0,0.0,-14.03,94392.9
vix_fear,Market Fear / VIX,vix,President — 2nd Term (2025+),1w,4,-7.899,-8.017,25.0,10.1,-25.66,92100.92
vix_fear,Market Fear / VIX,vix,President — 2nd Term (2025+),1m,3,-4.928,-1.998,33.3,2.96,-15.75,95071.5
